Username	Category	#Followers	#Followees	#Posts
debora.eudoracosmeticos	beauty	1202	2139	2114
ryankellymua	beauty	73627	2413	670
diesel_minnie	beauty	66463	179	392
gkccouture_	beauty	15895	1321	2370
keemme_	beauty	53799	318	444
nudelipdiaries	beauty	1494	438	449
cassie_ohsoclassic	beauty	2355	818	358
taylorrosemagic	beauty	3226	5900	708
redlipsreview	beauty	1656	986	781
jessicalee.3	beauty	3388	2854	680
onabeautybender	beauty	26663	896	813
ceicaprofissionais	beauty	2686	1005	732
emilycottontop	beauty	14424	1381	2124
whitneyann_romeo	beauty	6146	842	1140
strawberriredd	beauty	62987	663	2923
kammmmmi_	beauty	41253	2635	590
carobouvette	beauty	4337	1287	352
shearfaithsalonboutique	beauty	2643	1652	1762
hernandes_vaz	beauty	1640	4904	1035
armaniamor	beauty	12249	662	543
calireviewingmama	beauty	3100	1444	1020
itsisabelbedoya	beauty	2822194	392	849
voodoobarbiedoll	beauty	128788	893	3973
itsmyrayeraye	beauty	1614473	952	1907
exteriorglam	beauty	1769918	470	539
smilesciences	beauty	203232	5193	10681
thatbaileygal	beauty	11630	5761	1760
sarahlovsmakeup	beauty	25557	4684	2569
amanda.benko	beauty	6349	887	338
ashleericemakeup	beauty	1342	785	1090
liza_lash	beauty	527732	695	784
feliciagross	beauty	38640	671	799
badassnugget	beauty	75542	1281	607
janet_amrani	beauty	24634	659	516
smilesciencesstreetteam	beauty	12311	714	2521
gnomichi	beauty	43325	339	410
nikkibeautybliss	beauty	33753	663	358
mirapatelll	beauty	54680	530	500
manal	beauty	1527628	268	1202
thecutlife	beauty	1373873	997	9322
sharifaeasmin	beauty	100245	685	1006
sharpfade	beauty	640714	69	9342
just_kinzy	beauty	3133	1156	407
bonimakeup	beauty	4856	780	384
la_reine_de_lion	beauty	4572	3894	169
hairbyalyssarae_	beauty	1728	1746	1250
mystyleboxx	beauty	11764	957	530
sashaamalik	beauty	65803	3338	2589
araxjan	beauty	20352	911	920
imadamejay	beauty	39642	1713	838
lyubilyubov	beauty	48932	968	549
imgloriaann	beauty	33351	640	454
actually_ashly	beauty	176745	1299	2522
thiessita	beauty	198397	322	2568
vicious_shorty	beauty	1873	1686	431
jackiewyers	beauty	75821	1064	1205
ilansandra_soglam	beauty	1305	7175	979
tophair_com	beauty	1420	1628	802
kimchi_chic	beauty	1593904	880	1225
byrdiebeauty	beauty	334454	1752	3384
melissamat_	beauty	131028	4984	2518
beautysnoop	beauty	12785	1333	1093
rohartt	beauty	1542	257	302
christendominique	beauty	1474432	545	1324
mimles	beauty	871835	4929	4208
kelseyrae_mua	beauty	16990	888	1190
jadeandbeauty	beauty	8359	1870	830
voiceofhair	beauty	391866	1193	7737
oliviaweirsthings	beauty	23768	4807	1380
jestar1	beauty	7127	1450	462
k_moniquebeauty	beauty	4545	755	590
amysmakeupbox	beauty	379158	492	2375
lyssamariexo	beauty	22251	1236	296
lovedaphney	beauty	23287	2567	2814
logicalharmony	beauty	34364	2849	4292
zoeymusic777	beauty	11945	7487	537
thegoldlash	beauty	1723	1037	942
krishkreations	beauty	148097	204	494
creatingvisionsmua	beauty	1924	287	434
robsongrl	beauty	105613	241	556
harajuku.nyc	beauty	17898	1225	294
hayley_bui	beauty	517857	542	884
fatimadurni	beauty	35532	304	1888
iamgmoust	beauty	20970	1005	439
danagagliotti	beauty	18080	1185	386
mztarabelle	beauty	21246	839	528
glamourartbytoya	beauty	7174	1814	579
oliviacg	beauty	24321	748	963
isognidellaele	beauty	9765	902	2821
jessie_maya_	beauty	154674	986	535
jessiesoffi	beauty	7129	328	872
cosmocalista	beauty	27074	953	287
surrealhairsalon	beauty	1757	2722	1707
baharehrezaei_	beauty	33731	3998	1074
beautebynat	beauty	2579	521	1076
comportadissimas	beauty	2622	1156	769
makeupmysmile	beauty	7547	7325	569
hairbyjkidd	beauty	4521	1733	1925
killyps0	beauty	2518	1023	658
tanejasbride	beauty	2017	3567	2458
_chellita	beauty	6202	673	345
rthediva723	beauty	6408	1886	2733
natshaw_xx	beauty	9305	2615	284
myusernameisnatasha	beauty	1511	491	600
lojaviciopiresdorio	beauty	1083	784	322
daniellerenaee	beauty	73159	1528	579
luciacastells	beauty	15387	385	1089
monpetitparadiisbyarmelle	beauty	15380	287	325
euvouderosa	beauty	47563	212	5071
bylaumk	beauty	29501	540	4721
juhfashion	beauty	1260	865	384
chloemorello	beauty	1124349	1892	4267
amandawarrenhair	beauty	15082	536	522
entrelabialesypigmentos	beauty	13623	1111	777
itslesliealvarado	beauty	40215	503	820
nyckiec	beauty	6081	956	454
beautystylelist	beauty	14302	668	877
nikolhess	beauty	12519	785	1089
iluvsarahii	beauty	4200198	2119	2195
nattycastelano	beauty	10765	1753	297
crambert	beauty	2007	1697	811
splitwhit	beauty	15546	4198	2671
myiimua	beauty	4953	1952	1215
beigeojai	beauty	16482	404	735
nicoleeecutler	beauty	17695	755	538
flormarcz	beauty	3150	1046	514
itseriikaamp	beauty	18529	2609	662
mariiacanoa	beauty	6196	887	536
tammy.mue.77	beauty	1028	1275	522
freshlengths	beauty	41523	1439	452
katazee	beauty	25397	632	265
lujainglam	beauty	480395	579	1605
ourfazinali	beauty	873031	207	427
epens	beauty	1327	885	341
mirandalane_misstx	beauty	1083	676	951
meghanvictoriax	beauty	8553	2113	2859
mayvennbygingertoups	beauty	1787	7395	3853
nicoleguerriero	beauty	2050062	680	905
loje_loje	beauty	55553	469	976
vickyvavoom	beauty	2992	1987	1778
lisette	beauty	436547	287	310
frenchysjaxbeachdayspa	beauty	3346	2631	1979
dicasbysandrapinatto	beauty	84896	956	1842
dianisdelca	beauty	2981	1018	548
caterina_tonzuso	beauty	1987	3710	611
whitneymadueke	beauty	27392	338	217
chlo909	beauty	22949	7500	810
minahjjing	beauty	14549	573	1673
kellydelacreme	beauty	12793	813	932
niquelychique	beauty	4542	1736	1699
zhuliana	beauty	36942	2353	2141
manudip74	beauty	1333	1190	2313
sophielucas95	beauty	1008	309	493
jaeebeauty	beauty	10846	810	2572
barbertakeover	beauty	41620	5952	2752
nymatang	beauty	272157	328	285
potisaprueba	beauty	2863	571	311
_themakeupdoll	beauty	71534	4027	587
tontaeformosa	beauty	45315	2142	2112
josephharwood	beauty	27736	2116	788
thebeautyvanity	beauty	30787	2220	1154
lesleydoesmakeup	beauty	4812	1550	1802
spyglamourph	beauty	4654	5694	344
flawlociety	beauty	1364	501	239
tess.daly	beauty	136811	1430	1093
kisumaikuchuuru	beauty	51118	416	518
meredithmedical	beauty	1543	2234	232
michellamalin	beauty	7592	1464	510
